vehicleid,status,make,model,modelyear,color,fuel,wheelchairaccessible,operator,zipcode,affiliation,medallion
1767,ACTIVE,TOYOTA,SIENNA,2020,WHITE,Gasoline,TRUE,"MARGA ZORA, CORP.",60656,Flash Cab Co,Owner-Operator
5277,ACTIVE,TOYOTA,CAMRY,2015,WHITE,Hybrid,FALSE,DOLAPO CO,60656,Flash Cab Co,Owner Manager
6408,ACTIVE,TOYOTA,CAMRY,2023,WHITE,Gasoline,FALSE,"FATAI TRANS, INC",60659,City Service Taxi Association,Owner-Operator
6322,ACTIVE,TOYOTA,RAV4,2021,YELLOW,Gasoline,FALSE,ALIKHLAS INC,60641,Yellow Cab Association,Owner-Operator
3354,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,FALSE,R-B ULQIN TRANZ INC,60645,Independent1,Owner-Operator
144,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,FALSE,ADE'S ENTERPRISES INC,60641,Yellow Cab Association,Owner-Operator
6071,ACTIVE,TOYOTA,PRIUS,2013,WHITE/BLUE/STRIPES,Hybrid,FALSE,NEW MILLENNIUM INC. #1,60646,Blue Ribbon Assn Inc,"Cab Management Group, Inc."
4171,ACTIVE,TOYOTA,CAMRY,2017,YELLOW,Hybrid,FALSE,TAXI MEDALLION GROUP LLC SERIESXXVI,60618,Yellow Cab Association,Owner Manager
5845,ACTIVE,TOYOTA,PRIUS,2022,WHITE,Hybrid,FALSE,GLENVIEW TRANS INC,60656,Flash Cab Co,Owner Manager
4895,ACTIVE,TOYOTA,CAMRY,2019,WHITE,Hybrid,FALSE,SHAMPA TRANS INC,60659,City Service Taxi Association,Owner-Operator
116,ACTIVE,TOYOTA,RAV4,2020,WHITE,Gasoline,FALSE,"SES TRANS, INC",60659,City Service Taxi Association,Owner-Operator
6065,ACTIVE,TOYOTA,PRIUS,2014,WHITE/BLUE/STRIPES,Hybrid,FALSE,ADDISETH INC,60646,Blue Ribbon Assn Inc,Owner-Operator
1154,ACTIVE,TOYOTA,CAMRY,2019,WHITE,Hybrid,FALSE,MM & SS TAXI INC,60656,Flash Cab Co,Owner-Operator
2283,ACTIVE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,FALSE,ETHIO TRANS INC,60645,Choice Taxi Association Inc,Owner-Operator
